Date : 2025-04-29 13:15:14
Directory : c:\Users\Acer\Desktop\FYP
Total : 119 files,  21991 codes, 380 comments, 890 blanks, all 23261 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          8 |     15,844 |          0 |         10 |     15,854 |
| JavaScript JSX |         52 |      4,102 |         79 |        446 |      4,627 |
| JavaScript     |         30 |      1,731 |        168 |        341 |      2,240 |
| MS SQL         |         16 |        180 |        132 |         65 |        377 |
| CSS            |          4 |         80 |          0 |         14 |         94 |
| HTML           |          2 |         30 |          1 |          3 |         34 |
| Markdown       |          2 |         12 |          0 |         10 |         22 |
| Properties     |          1 |          8 |          0 |          1 |          9 |
| XML            |          4 |          4 |          0 |          0 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        119 |     21,991 |        380 |        890 |     23,261 |
| . (Files)                                                                                                      |          3 |      2,805 |          0 |          3 |      2,808 |
| Backend                                                                                                        |         38 |      1,769 |        296 |        392 |      2,457 |
| Backend (Files)                                                                                                |          1 |         65 |          1 |         12 |         78 |
| Backend\Middleware                                                                                             |          2 |         44 |          4 |         11 |         59 |
| Backend\controller                                                                                             |         10 |      1,346 |        151 |        262 |      1,759 |
| Backend\prisma                                                                                                 |         16 |        180 |        132 |         65 |        377 |
| Backend\prisma\migrations                                                                                      |         16 |        180 |        132 |         65 |        377 |
| Backend\prisma\migrations\20241124073320_init                                                                  |          1 |         36 |          7 |         11 |         54 |
| Backend\prisma\migrations\20250126061735_init                                                                  |          1 |         35 |         29 |         13 |         77 |
| Backend\prisma\migrations\20250303090504_add_appointment                                                       |          1 |          9 |          1 |          2 |         12 |
